,Adgroup,region_name,Conversions,Clicks
0,239906,Apulien,0.0,0
1,51764,Emilia-Romagna,0.0,13
2,35104,Venetien,0.0,12
3,71763,Venetien,0.0,16
4,51511,Emilia-Romagna,0.04,34
5,54075,Toskana,0.0,7
6,190688,Südtirol,0.0,4
7,53312,Sardinien,0.0,36
8,102506,Südtirol,0.0,25
9,36787,Kampanien,0.0,72
10,116441,Latium,0.0,2
11,247170,Kampanien,0.0,2
12,82841,Kampanien,0.0,6
13,52657,Kampanien,0.0,33
14,53341,Sardinien,0.0,12
15,321630,Sardinien,0.0,46
16,980617,Sardinien,0.0,137
17,53251,Sardinien,0.0,16
18,1855030,Kalabrien,0.0,127
19,292931,Latium,0.0,3
20,549477,Sardinien,0.0,7
21,156860,Kalabrien,0.49,69
22,103523,Südtirol,0.0,77
23,111041,Latium,0.0,33
24,198969,Toskana,0.0,29
25,55279,Südtirol,0.0,107
26,36346,Venetien,0.0,74
27,37365,Venetien,0.0,19
28,53272,Sardinien,0.0,18
29,51983,Apulien,0.0,56
30,71905,Venetien,0.0,72
31,23269,Toskana,0.0,29
32,53483,Sizilien,0.0,26
33,860025,Lombardei,0.0,26
34,239954,Sardinien,0.0,51
35,34535,Venetien,0.0,1
36,51934,Emilia-Romagna,0.26,54
37,55352,Trentino,0.0,32
38,20427,Venetien,0.0,49
39,37025,Südtirol,0.0,12
40,1507797,Sizilien,0.0,4
41,546181,Venetien,0.0,7
42,53257,Sardinien,0.0,0
43,52669,Kampanien,0.0,42
44,271698,Toskana,0.0,5
45,38326,Latium,0.0,35
46,34845,Sardinien,0.0,38
47,53448,Sizilien,0.0,8
48,52835,Kampanien,0.0,2
49,132339,Sardinien,0.0,1
50,53215,Sardinien,0.0,10
51,95126,Kampanien,0.0,1
52,55613,Venetien,0.0,0
53,52606,Kampanien,0.0,12
54,136062,Sardinien,0.0,19
55,54611,Toskana,0.0,7
56,322739,Sardinien,0.0,19
57,187974,Sardinien,1.68,1391
58,147877,Kalabrien,0.0,54
59,52859,Kampanien,0.0,12
60,193441,Sizilien,0.0,24
61,52907,Kalabrien,0.0,40
62,53292,Sardinien,0.0,12
63,156341,Sardinien,0.0,5
64,53452,Sizilien,0.0,16
65,52714,Kampanien,0.0,16
66,53245,Sardinien,0.0,18
67,52818,Kampanien,0.0,12
68,55068,Südtirol,0.0,5
69,52138,Venetien,0.0,45
70,51366,Emilia-Romagna,0.0,1
71,114124,Emilia-Romagna,0.0,26
72,94512,Trentino,0.28,162
73,52091,Venetien,0.0,6
74,20993,Emilia-Romagna,0.0,0
75,53878,Toskana,0.0,27
76,51420,Venetien,0.0,18
77,51575,Friaul Julisch Venetien,0.0,3
78,53756,Toskana,0.0,1
79,52293,Lombardei,0.0,3
80,218217,Trentino,0.0,15
81,156219,Trentino,0.0,65
82,53002,Ligurien,0.02,15
83,52096,Venetien,0.0,38
84,36494,Südtirol,0.28,12
85,38527,Südtirol,0.0,22
86,20991,Emilia-Romagna,0.0,9
87,1465198,Venetien,0.0,1
88,168836,Friaul Julisch Venetien,0.0,13
89,111467,Trentino,0.0,50
90,54501,Toskana,0.0,3
91,99531,Südtirol,0.0,171
92,279996,Friaul Julisch Venetien,0.0,1
93,38278,Lombardei,0.14,25
94,52242,Lombardei,2.78,44
95,313636,Ligurien,0.0,32
96,273724,Emilia-Romagna,0.0,0
97,53488,Sizilien,0.0,14
98,251297,Trentino,0.0,7
99,55604,Venetien,0.0,6
100,83952,Apulien,0.0,1
101,310126,Apulien,0.0,34
102,53305,Sardinien,0.0,3
103,1130344,Basilikata,0.0,2
104,276943,Latium,0.0,12
105,1078045,Sardinien,0.0,76
106,72300,Kalabrien,0.0,4
107,215599,Sardinien,0.0,0
108,111691,Sizilien,0.0,51
109,52626,Kampanien,0.08,29
110,1349870,Kalabrien,0.0,99
111,169242,Sardinien,0.0,14
112,53557,Sizilien,0.0,17
113,52729,Kampanien,0.0,22
114,52620,Kampanien,0.0,6
115,53263,Sardinien,0.0,42
116,163611,Sizilien,0.0,1
117,54820,Latium,0.0,0
118,53508,Sizilien,0.0,19
119,52852,Kampanien,0.0,8
120,217761,Kampanien,0.0,49
121,156735,Sardinien,0.0,12
122,1348916,Venetien,0.0,36
123,183803,Sardinien,0.0,71
124,53413,Sizilien,0.0,10
125,167813,Sardinien,0.0,17
126,21955,Kampanien,0.0,4
127,52968,Kalabrien,0.0,9
128,233587,Sardinien,0.0,43
129,52904,Kalabrien,3.87,167
130,167639,Sizilien,0.0,36
131,294240,Sardinien,0.0,51
132,172074,Sardinien,0.0,28
133,53455,Sizilien,0.0,21
134,403945,Sizilien,0.0,7
135,266438,Trentino,0.0,8
136,53442,Sizilien,0.0,51
137,116335,Abruzzen,0.0,3
138,53682,Toskana,0.0,21
139,111170,Toskana,0.0,19
140,268175,Venetien,0.0,56
141,51873,Emilia-Romagna,0.0,22
142,52237,Lombardei,0.0,33
143,150025,Lombardei,0.0,49
144,35887,Lombardei,0.0,89
145,35886,Lombardei,0.0,81
146,55467,Südtirol,0.0,0
147,51403,Emilia-Romagna,0.0,9
148,52353,Lombardei,0.0,1
149,22188,Ligurien,0.0,11
150,124875,Südtirol,0.0,35
151,237300,Ligurien,0.0,1
152,93741,Venetien,0.0,21
153,35518,Südtirol,0.0,35
154,123928,Venetien,1.0,105
155,51892,Emilia-Romagna,0.0,15
156,52511,Venetien,0.04,93
157,35932,Venetien,0.0,34
158,53711,Toskana,1.0,33
159,55092,Südtirol,0.0,13
160,51746,Marken,0.0,21
161,101531,Trentino,0.0,1
162,55619,Venetien,0.0,2
163,52088,Venetien,0.0,21
164,95684,Kampanien,0.0,1
165,116523,Toskana,0.0,23
166,52737,Kampanien,0.0,8
167,216430,Sizilien,0.0,1
168,53345,Sardinien,0.13,44
169,52756,Kampanien,0.0,10
170,217821,Sardinien,0.0,25
171,53317,Sardinien,0.0,27
172,36312,Kalabrien,0.5,104
173,53311,Sardinien,1.0,45
174,147613,Latium,0.0,49
175,693501,Apulien,1.67,19
176,96176,Sardinien,0.0,23
177,52636,Kampanien,0.0,1
178,86901,Sizilien,0.0,2
179,110977,Sardinien,0.0,8
180,53411,Sizilien,0.0,2
181,52811,Kampanien,0.0,0
182,211289,Sardinien,0.0,12
183,314966,Sardinien,0.0,47
184,37382,Sizilien,0.0,44
185,321844,Sardinien,0.0,10
186,239733,Sizilien,0.0,214
187,306337,Apulien,0.0,74
188,52841,Kampanien,0.0,0
189,240153,Sizilien,0.0,4
190,73792,Sardinien,0.01,5
191,156204,Sardinien,0.0,4
192,52625,Kampanien,0.0,14
193,794553,Kampanien,0.0,12
194,22098,Kalabrien,0.0,2
195,21811,Kampanien,0.0,0
196,53464,Sizilien,0.0,15
197,188378,Kalabrien,0.0,91
198,38454,Sizilien,1.0,41
199,157160,Sizilien,0.0,51
200,52749,Kampanien,0.0,4
201,76080,Latium,0.0,74
202,166434,Kalabrien,1.0,43
203,52621,Kampanien,0.0,6
204,35387,Kalabrien,0.0,41
205,34858,Kalabrien,0.0,72
206,208066,Sardinien,0.0,4
207,52889,Kalabrien,0.0,1
208,52624,Kampanien,0.11,15
209,53244,Sardinien,0.0,24
210,52738,Kampanien,0.0,13
211,37348,Sardinien,0.0,61
212,52634,Kampanien,0.0,17
213,114553,Lombardei,0.0,43
214,52308,Piemont,0.0,29
215,53046,Ligurien,0.0,77
216,51252,Venetien,0.0,53
217,52137,Lombardei,0.0,3
218,52159,Lombardei,0.0,40
219,36211,Südtirol,0.54,56
220,260284,Südtirol,0.0,13
221,52232,Lombardei,0.0,55
222,351181,Lombardei,0.0,6
223,81931,Südtirol,0.0,33
224,51683,Venetien,0.24,96
225,85436,Südtirol,0.21,42
226,93330,Trentino,0.0,9
227,55440,Südtirol,0.0,72
228,167754,Venetien,0.0,60
229,172323,Südtirol,0.0,24
230,1538619,Venetien,0.0,7
231,52233,Lombardei,0.0,6
232,189713,Südtirol,0.0,4
233,213047,Venetien,0.0,13
234,214734,Venetien,0.0,6
235,52264,Venetien,0.0,13
236,53273,Sardinien,0.0,69
237,51236,Venetien,0.0,42
238,1855071,Apulien,0.0,134
239,52120,Venetien,1.0,70
240,52337,Lombardei,0.0,7
241,34382,Sardinien,0.0,64
242,52034,Apulien,0.0,10
